,159850_amont,159960_amont,161831_amont,510900_amont,159823_amont,159954_amont,160717_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2020-04-16,,0.0,,,,,,0.0,2203010705.2251496,0.0,
2020-04-17,,0.0,,,,,,0.0,2721379190.766641,0.0,0.0
2020-04-20,,0.0,,,,,,0.0,1417432937.4395952,0.0,0.0
2020-04-21,,0.0,,,,,,0.0,1869470454.5310783,0.0,0.0
2020-04-22,,0.0,,,,,,0.0,1448990755.3397014,0.0,0.0
2020-04-23,,0.0,,,,,,0.0,1581466097.5243428,0.0,0.0
2020-04-24,,0.0,,,,,,0.0,1185040418.0748665,0.0,0.0
2020-04-27,,-956000.0,,,,,,-956000.0,1467094918.2722576,-4.6840618872021005e-05,0.0
2020-04-28,,0.0,,,,,,0.0,1375401133.1612124,0.0,-4.6840618872021005e-05
2020-04-29,,0.0,,,,,,0.0,1387895470.8306994,0.0,0.0
2020-05-06,,0.0,,,,,,0.0,1803477228.9257627,0.0,0.0
2020-05-07,,-956000.0,,,,,,-956000.0,1223477167.4081843,-5.4913692145286426e-05,0.0
2020-05-08,,0.0,,,,,,0.0,1641052690.4148278,0.0,-5.4913692145286426e-05
2020-05-11,,0.0,,,,,,0.0,2343340537.873134,0.0,0.0
2020-05-12,,-966000.0,,,,,,-966000.0,1790670055.920128,-5.067508429327961e-05,0.0
2020-05-13,,0.0,,,,,,0.0,1817917579.7476745,0.0,-5.067508429327961e-05
2020-05-14,,-1904000.0,,,,,,-1904000.0,2452270893.109059,-8.770034688997453e-05,0.0
2020-05-15,,0.0,,,,,,0.0,1832744500.2519813,0.0,-8.770034688997453e-05
2020-05-18,,-954000.0,,,,,,-954000.0,1632256094.5259135,-5.7730813742011746e-05,0.0
2020-05-19,,0.0,,,,,,0.0,1938438068.2984767,0.0,-5.7730813742011746e-05
2020-05-20,,-970000.0,,,,,,-970000.0,1805510509.945849,-5.418024359701958e-05,0.0
2020-05-21,,-968000.0,,,,,,-968000.0,1690681629.3682158,-4.936638110516029e-05,-5.418024359701958e-05
2020-05-22,,-935000.0,,,,,,-935000.0,3250592215.0765886,-2.56373445340319e-05,-4.936638110516029e-05
2020-05-25,,0.0,,,,,,0.0,1688159527.4403012,0.0,-2.56373445340319e-05
2020-05-26,,0.0,,,,,,0.0,1341373631.3759167,0.0,0.0
2020-05-27,,0.0,,,,,,0.0,1758364441.7675915,0.0,0.0
2020-05-28,,-1896000.0,,,,,,-1896000.0,2261218016.7564473,-7.340309891765497e-05,0.0
2020-05-29,,-1890000.0,,,,,,-1890000.0,2784904030.8523097,-4.875318890883731e-05,-7.340309891765497e-05
2020-06-01,,-971000.0,,,,,,-971000.0,2225261295.9601965,-3.2183205724998865e-05,-4.875318890883731e-05
2020-06-02,,-3900000.0,,,,,,-3900000.0,1747500303.7254918,-0.00020026802124321053,-3.2183205724998865e-05
2020-06-03,,-980000.0,,,,,,-980000.0,2273341457.4788857,-3.4866348889963816e-05,-0.00020026802124321053
2020-06-04,,-3924000.0,,,,,,-3924000.0,1790408512.8979032,-0.00017584767505089962,-3.4866348889963816e-05
2020-06-05,,-1970000.0,,,,,,-1970000.0,2258086221.0129123,-8.026647825278111e-05,-0.00017584767505089962
2020-06-08,,0.0,,,,,,0.0,1834046528.428001,0.0,-8.026647825278111e-05
2020-06-09,,0.0,,,,,,0.0,1752276197.8866627,0.0,0.0
2020-06-10,,-996000.0,,,,,,-996000.0,2426645908.719457,-4.0055695883147e-05,0.0
2020-06-11,,-982000.0,,,,,,-982000.0,2128707150.402852,-4.4051798568212474e-05,-4.0055695883147e-05
2020-06-12,,0.0,,,,,,0.0,1566253698.9920995,0.0,-4.4051798568212474e-05
2020-06-15,,0.0,,,,,,0.0,1681759152.4973354,0.0,0.0
2020-06-16,,0.0,,,,,,0.0,1721065076.2607188,0.0,0.0
2020-06-17,,0.0,,,,,,0.0,1300878401.80042,0.0,0.0
2020-06-18,,0.0,,,,,,0.0,1614794116.1865563,0.0,0.0
2020-06-19,,0.0,,,,,,0.0,2210934985.52429,0.0,0.0
2020-06-22,,0.0,,,,,,0.0,2053542378.989103,0.0,0.0
2020-06-23,,0.0,,,,,,0.0,2356623547.7637153,0.0,0.0
2020-06-24,,0.0,,,,,,0.0,1831999938.1348987,0.0,0.0
2020-06-29,,0.0,,,,,,0.0,2063774811.6064928,0.0,0.0
2020-06-30,,0.0,,,,,,0.0,2121217104.3619995,0.0,0.0
2020-07-02,,0.0,,,,,,0.0,3373647593.865994,0.0,0.0
2020-07-03,,0.0,,,,,,0.0,2390399575.8502765,0.0,0.0
2020-07-06,,0.0,,,,,,0.0,4055041983.1540046,0.0,0.0
2020-07-07,,0.0,,,,,,0.0,3682972251.058537,0.0,0.0
2020-07-08,,3219000.0,,,,,,3219000.0,3090028850.0171423,9.287634104372607e-05,0.0
2020-07-09,,1067000.0,,,,,,1067000.0,2869293192.766642,3.465870523759184e-05,9.287634104372607e-05
2020-07-10,,2084000.0,,,,,,2084000.0,2639299593.7574334,7.628482600267093e-05,3.465870523759184e-05
2020-07-13,,0.0,,,,,,0.0,2232646899.4986005,0.0,7.628482600267093e-05
2020-07-14,,0.0,,,,,,0.0,2443667968.541213,0.0,0.0
2020-07-15,,0.0,,,,,,0.0,2225521155.62722,0.0,0.0
2020-07-16,,0.0,,,,,,0.0,2610009747.5336733,0.0,0.0
2020-07-17,,0.0,,,,,,0.0,1693335040.889295,0.0,0.0
2020-07-20,,0.0,,,,,,0.0,1720374300.9752815,0.0,0.0
2020-07-21,,0.0,,,,,,0.0,2833633984.2423487,0.0,0.0
2020-07-22,,0.0,,,,,,0.0,2272641765.405068,0.0,0.0
2020-07-23,,0.0,,,,,,0.0,2074636488.2044678,0.0,0.0
2020-07-24,,0.0,,,,,,0.0,2829171717.458344,0.0,0.0
2020-07-27,,0.0,,,,,,0.0,1786254071.2296362,0.0,0.0
2020-07-28,,0.0,,,,,,0.0,2023280338.3900821,0.0,0.0
2020-07-29,,-1010999.9999999999,,,,,,-1010999.9999999999,1279671741.7094212,-7.490343277207729e-05,0.0
2020-07-30,,0.0,,,,,,0.0,1633085988.6896682,0.0,-7.490343277207729e-05
2020-07-31,,0.0,,,,,,0.0,1675399636.1846392,0.0,0.0
2020-08-03,,0.0,,,,,,0.0,2016052986.6264215,0.0,0.0
2020-08-04,,1016999.9999999999,,,,,0.823,1017000.8229999999,2262230099.765702,4.275954694687792e-05,0.0
2020-08-05,,0.0,,,,,14998.351999999999,14998.351999999999,1686100028.9181838,8.821091651701197e-07,4.275954694687792e-05
2020-08-06,,1004000.0,,,,,0.0,1004000.0,2051561626.512723,5.083876862212266e-05,8.821091651701197e-07
2020-08-07,,0.0,,,,,9976.922,9976.922,4572166498.455303,4.914287340992406e-07,5.083876862212266e-05
2020-08-10,,0.0,,,,,0.0,0.0,3335416207.6436334,0.0,4.914287340992406e-07
2020-08-11,,0.0,,,,,0.0,0.0,2243060229.9229183,0.0,0.0
2020-08-12,,0.0,,,,,8710.951000000001,8710.951000000001,1775466632.3449187,4.756431927406721e-07,0.0
2020-08-13,,0.0,,,,,0.0,0.0,2312229673.1856513,0.0,4.756431927406721e-07
2020-08-14,,0.0,,,,,0.0,0.0,1567194251.567986,0.0,0.0
2020-08-17,,0.0,,,,,-93842.79999999999,-93842.79999999999,1900778177.5158515,-4.108208049266209e-06,0.0
2020-08-18,,0.0,,,,,-98449.2,-98449.2,1421333660.2244575,-5.834729606805786e-06,-4.108208049266209e-06
