,513330_amont,159688_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2021-02-08,-78077999.99999999,,-78077999.99999999,2967440305.9744925,-0.004367766288362428,
2021-02-09,-30240000.0,,-30240000.0,2402487553.3603587,-0.0021286348351074063,-0.004367766288362428
2021-02-10,-225504000.0,,-225504000.0,3803047932.6442585,-0.013300153441043308,-0.0021286348351074063
2021-02-18,-179592000.0,,-179592000.0,5280520963.453386,-0.005494313061842665,-0.013300153441043308
2021-02-19,-8512000.0,,-8512000.0,5126983976.160617,-0.00032034888956336766,-0.005494313061842665
2021-02-22,0.0,,0.0,5766400996.172377,0.0,-0.00032034888956336766
2021-02-23,180136000.0,,180136000.0,5213465060.313261,0.005550608472783515,0.0
2021-02-24,661710000.0,,661710000.0,7573122355.421984,0.013709559259742097,0.005550608472783515
2021-02-25,-3840000.0,,-3840000.0,4661220561.494871,-0.0001272256293487813,0.013709559259742097
2021-02-26,0.0,,0.0,7216236025.954363,0.0,-0.0001272256293487813
2021-03-01,0.0,,0.0,4925577894.457404,0.0,0.0
2021-03-02,0.0,,0.0,4983454647.560454,0.0,0.0
2021-03-03,0.0,,0.0,3376983440.9328566,0.0,0.0
2021-03-04,163980000.0,,163980000.0,4797573110.853371,0.005826432930399681,0.0
2021-03-05,0.0,,0.0,5189241920.486785,0.0,0.005826432930399681
2021-03-08,297850000.0,,297850000.0,6674288009.301994,0.00931345897340317,0.0
2021-03-09,0.0,,0.0,6941303290.698255,0.0,0.00931345897340317
2021-03-10,-77130000.0,,-77130000.0,4549452922.676615,-0.0034388545394566385,0.0
2021-03-11,0.0,,0.0,5715309381.98641,0.0,-0.0034388545394566385
2021-03-12,0.0,,0.0,6028920028.429339,0.0,0.0
2021-03-15,0.0,,0.0,5787552702.570148,0.0,0.0
2021-03-16,0.0,,0.0,3580748793.4076533,0.0,0.0
2021-03-17,0.0,,0.0,2992430366.165909,0.0,0.0
2021-03-18,-72880000.0,,-72880000.0,4382707481.033213,-0.0032593522207173533,0.0
2021-03-19,0.0,,0.0,4451659497.661663,0.0,-0.0032593522207173533
2021-03-22,0.0,,0.0,2608261410.481288,0.0,0.0
2021-03-23,0.0,,0.0,3359263328.311618,0.0,0.0
2021-03-24,0.0,,0.0,3777747110.9346933,0.0,0.0
2021-03-25,5004000.0,,5004000.0,5356616096.190993,0.00020926382740635825,0.0
2021-03-26,0.0,,0.0,4300069184.224107,0.0,0.00020926382740635825
2021-03-29,0.0,,0.0,4533463314.007169,0.0,0.0
2021-03-30,0.0,,0.0,3497518085.0537515,0.0,0.0
2021-03-31,-73874000.0,,-73874000.0,3548153483.453557,-0.003978233265008706,0.0
2021-04-01,-133800000.0,,-133800000.0,4663070132.850619,-0.00612269864225746,-0.003978233265008706
2021-04-07,-44250000.0,,-44250000.0,4115254758.333249,-0.0021297816225768944,-0.00612269864225746
2021-04-08,0.0,,0.0,15393806692.14387,0.0,-0.0021297816225768944
2021-04-09,0.0,,0.0,2871867682.996973,0.0,0.0
2021-04-12,0.0,,0.0,4988055729.228157,0.0,0.0
2021-04-13,0.0,,0.0,3789152670.116076,0.0,0.0
2021-04-14,0.0,,0.0,3044465038.8178782,0.0,0.0
2021-04-15,0.0,,0.0,2479572129.783454,0.0,0.0
2021-04-16,0.0,,0.0,3119544338.2655296,0.0,0.0
2021-04-19,0.0,,0.0,3180586794.4742804,0.0,0.0
2021-04-20,0.0,,0.0,8105469342.451703,0.0,0.0
2021-04-21,39008000.0,,39008000.0,3302893891.4139833,0.0026392575836368653,0.0
2021-04-22,0.0,,0.0,2519536331.3249745,0.0,0.0026392575836368653
2021-04-23,0.0,,0.0,3021945148.2355514,0.0,0.0
2021-04-26,0.0,,0.0,2983414188.9796324,0.0,0.0
2021-04-27,0.0,,0.0,2910625042.630657,0.0,0.0
2021-04-28,0.0,,0.0,2853862141.725743,0.0,0.0
2021-04-29,0.0,,0.0,1933040352.573483,0.0,0.0
2021-04-30,0.0,,0.0,2011402669.0860217,0.0,0.0
2021-05-06,83800000.0,,83800000.0,2697685704.0011144,0.005929784430526346,0.0
2021-05-07,147960000.0,,147960000.0,2585305495.170494,0.00887565523844989,0.005929784430526346
2021-05-10,184690000.0,,184690000.0,4057788365.3153415,0.01215979827931649,0.00887565523844989
2021-05-11,137984000.0,,137984000.0,4781405242.7126255,0.006042814451262027,0.01215979827931649
2021-05-12,0.0,,0.0,4009464025.1909966,0.0,0.006042814451262027
2021-05-13,62960000.0,,62960000.0,2611518290.053856,0.0036841328147597164,0.0
2021-05-14,317898000.0,,317898000.0,3617820827.618804,0.017271940458349108,0.0036841328147597164
2021-05-17,99414000.0,,99414000.0,3043843502.084769,0.006804900077565455,0.017271940458349108
2021-05-18,0.0,,0.0,2050596310.0877328,0.0,0.006804900077565455
2021-05-20,0.0,,0.0,3593339132.1884594,0.0,0.0
2021-05-21,0.0,,0.0,4428781614.599658,0.0,0.0
2021-05-24,96720000.0,,96720000.0,2291912501.1101947,0.00764088286494925,0.0
2021-05-25,171360000.0,,171360000.0,3643009869.2227774,0.008401208813179337,0.00764088286494925
2021-05-26,518100000.0,,518100000.0,2918722927.12821,0.026776025831130906,0.008401208813179337
2021-05-27,32879999.999999996,,32879999.999999996,4914096216.172095,0.0011323986678031751,0.026776025831130906
2021-05-28,0.0,,0.0,2813671589.751815,0.0,0.0011323986678031751
2021-05-31,65759999.99999999,,65759999.99999999,3468845795.025478,0.003915133472866537,0.0
2021-06-01,1694000.0,,1694000.0,4108340477.0341654,9.213078580016987e-05,0.003915133472866537
2021-06-02,81024000.0,,81024000.0,3153239701.6933994,0.004556363618379366,9.213078580016987e-05
2021-06-03,1668000.0,,1668000.0,2986077753.095798,8.764039789454161e-05,0.004556363618379366
2021-06-04,3320000.0,,3320000.0,5099565412.884524,0.0001628620326005544,8.764039789454161e-05
2021-06-07,1650000.0,,1650000.0,3475464267.175233,0.00010524518974842521,0.0001628620326005544
2021-06-08,93024000.0,,93024000.0,1882895992.6561623,0.007486841164194485,0.00010524518974842521
2021-06-09,16299999.999999998,,16299999.999999998,1690724405.7490396,0.0013220775966400217,0.007486841164194485
2021-06-10,35904000.0,,35904000.0,2038734281.0524411,0.0028521455688489774,0.0013220775966400217
2021-06-11,24480000.0,,24480000.0,2497337070.1323037,0.0015878248388203182,0.0028521455688489774
2021-06-15,1628000.0,,1628000.0,2148265391.4121237,9.902318917224142e-05,0.0015878248388203182
2021-06-16,40100000.0,,40100000.0,2125271261.3692293,0.002892696650076977,9.902318917224142e-05
2021-06-17,1610000.0,,1610000.0,2368063620.362342,0.00010257647943227786,0.002892696650076977
2021-06-18,0.0,,0.0,3900798052.3314457,0.0,0.00010257647943227786
2021-06-21,3252000.0,,3252000.0,2857524960.901228,0.00022296971924043256,0.0
2021-06-22,38592000.0,,38592000.0,3154712925.317529,0.002831854552052318,0.00022296971924043256
2021-06-23,3276000.0,,3276000.0,2877629006.916161,0.00018241361102011778,0.002831854552052318
2021-06-24,0.0,,0.0,2146909285.5155704,0.0,0.00018241361102011778
2021-06-25,-1674000.0,,-1674000.0,3697340588.090254,-8.599476417833612e-05,0.0
2021-06-28,0.0,,0.0,2041827089.2152364,0.0,-8.599476417833612e-05
2021-06-29,0.0,,0.0,2587001790.650889,0.0,0.0
2021-06-30,0.0,,0.0,2318168218.4081073,0.0,0.0
2021-07-02,1616000.0,,1616000.0,3687585572.936818,6.843404052257986e-05,0.0
2021-07-05,11046000.0,,11046000.0,4731403469.570165,0.0005398903177045396,6.843404052257986e-05
2021-07-06,99162000.0,,99162000.0,2582839981.122718,0.006989978323694208,0.0005398903177045396
2021-07-07,153648000.0,,153648000.0,3081785399.322316,0.00910906874368225,0.006989978323694208
2021-07-08,455940000.0,,455940000.0,5151056350.465699,0.01933018808118661,0.00910906874368225
2021-07-09,218504000.0,,218504000.0,5358300325.154608,0.009829004956431686,0.01933018808118661
2021-07-12,1540000.0,,1540000.0,3338930107.2650685,9.532092833604867e-05,0.009829004956431686
2021-07-13,3148000.0,,3148000.0,3963044598.508681,0.00018842917708316467,9.532092833604867e-05
2021-07-14,0.0,,0.0,2974209945.086689,0.0,0.00018842917708316467
2021-07-15,0.0,,0.0,3100869581.554551,0.0,0.0
2021-07-16,-1562000.0,,-1562000.0,3539845395.186863,-0.0001113009155622204,0.0
2021-07-19,1528000.0,,1528000.0,3459538692.3773932,9.144811467507262e-05,-0.0001113009155622204
2021-07-20,4530000.0,,4530000.0,2367326567.8974094,0.00034116650893315956,9.144811467507262e-05
2021-07-21,126990000.0,,126990000.0,2571842133.587221,0.008430106558358342,0.00034116650893315956
2021-07-22,0.0,,0.0,2108097662.74863,0.0,0.008430106558358342
2021-07-23,0.0,,0.0,2212755337.6846576,0.0,0.0
2021-07-26,25416000.0,,25416000.0,8282998362.557767,0.0009183864761667435,0.0
2021-07-27,329406000.0,,329406000.0,11719078887.621302,0.008175873974132702,0.0009183864761667435
2021-07-28,129948000.0,,129948000.0,9241722846.722431,0.0038625704184893036,0.008175873974132702
2021-07-29,0.0,,0.0,7853353132.666882,0.0,0.0038625704184893036
2021-07-30,0.0,,0.0,4279230794.256659,0.0,0.0
2021-08-02,0.0,,0.0,3172029712.866636,0.0,0.0
2021-08-03,0.0,,0.0,6478786328.499232,0.0,0.0
2021-08-04,0.0,,0.0,3748628906.4120126,0.0,0.0
2021-08-05,0.0,,0.0,4095109092.9912896,0.0,0.0
2021-08-06,0.0,,0.0,3823247927.4845347,0.0,0.0
2021-08-09,0.0,,0.0,3886486369.5249305,0.0,0.0
2021-08-10,0.0,,0.0,4181221906.1838937,0.0,0.0
2021-08-11,0.0,,0.0,2587391417.602802,0.0,0.0
2021-08-12,0.0,,0.0,2303334580.6009464,0.0,0.0
2021-08-13,4086000.0000000005,,4086000.0000000005,2846187318.3390455,0.0003590964795098683,0.0
2021-08-16,239400000.0,,239400000.0,2964846170.673092,0.017444413110886722,0.0003590964795098683
2021-08-17,364800000.0,,364800000.0,3940756280.8944387,0.022876370766835692,0.017444413110886722
2021-08-18,106738000.0,,106738000.0,2673467372.8609047,0.00844450153568594,0.022876370766835692
2021-08-19,219450000.0,,219450000.0,4341321093.014185,0.01429519431383563,0.00844450153568594
2021-08-20,466170000.0,,466170000.0,4976362860.885807,0.025203446809715094,0.01429519431383563
2021-08-23,81120000.0,,81120000.0,4601769860.637756,0.0049329759747514445,0.025203446809715094
2021-08-24,0.0,,0.0,5154003343.403784,0.0,0.0049329759747514445
