,513260_amont,159740_amont,513010_amont,513180_amont,513380_amont,513580_amont,513130_amont,159741_amont,513890_amont,159742_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2021-05-25,,,36741000.0,,,,,,,312552148.584,349293148.584,3099314567.430985,0.017329187178200787,
2021-05-26,,,111552000.0,-1004000.0,,,,,,0.0,110548000.0,2586218759.8088145,0.00429391359406976,0.017329187178200787
2021-05-27,,391154845.76000005,0.0,-1004999.9999999999,,-9930000.0,,,,-2013999.9999999998,378205845.76000005,4205036505.499291,0.01235495675018618,0.00429391359406976
2021-05-28,,-46896000.0,19700000.0,0.0,,-1950000.0,,,,-20790000.0,-49936000.0,2494222753.5466495,-0.002195712254593724,0.01235495675018618
2021-05-31,,-991000.0,0.0,0.0,,-1974000.0,,,,-5004999.999999999,-7969999.999999999,2973669428.1882963,-0.00037675788768014193,-0.002195712254593724
2021-06-01,,-10149999.999999998,-3060000.0,-4120000.0,,-39390000.0,-34849800.0,,,0.0,-91569800.0,3549578265.0002193,-0.004129677893920023,-0.00037675788768014193
2021-06-02,,-28251999.999999996,0.0,0.0,,-34238000.0,-61448400.0,,,-36792000.0,-160730400.0,2727041913.48792,-0.008156259535521973,-0.004129677893920023
2021-06-03,,-35034999.99999999,0.0,0.0,,-30060000.0,-39428999.99999999,420109525.152,,-11164999.999999998,304420525.152,2588907690.379708,0.014706713594379212,-0.008156259535521973
2021-06-04,,-12987000.0,0.0,0.0,,0.0,-39234000.0,-20853000.0,,0.0,-73074000.0,4289015696.570016,-0.0031572764145290978,0.014706713594379212
2021-06-07,,-11904000.0,998000.0,0.0,,0.0,0.0,-3940000.0,,0.0,-14846000.0,2962468799.820524,-0.0007421836963147101,-0.0031572764145290978
2021-06-08,,-1962000.0,0.0,0.0,,0.0,21724800.0,-12636000.0,,0.0,7126800.0,1679715444.6953754,0.00043444065618699327,-0.0007421836963147101
