,Time,CN_bid,CN_Ask,IH_bid,IH_Ask,CN_bid_qty,CN_ask_qty,IH_bid_qty,IH_ask_qty
0,2022-10-17 09:30:00,12739,12740,107698.83380505003,107707.17867052385,100,100,100,100
1,2022-10-17 09:31:00,12736,12737,107700.54889629407,107733.94182673244,100,100,100,100
2,2022-10-17 09:32:00,12744,12746,107751.18285555247,107792.93069858057,100,100,100,100
3,2022-10-17 09:33:00,12733,12735,107765.77379294983,107807.54023500584,100,100,100,100
4,2022-10-17 09:34:00,12748,12750,107937.92253545643,107962.98746057496,100,100,100,100
5,2022-10-17 09:35:00,12717,12718,107706.44501065118,107756.56823023266,100,100,100,100
6,2022-10-17 09:36:00,12736,12738,107876.15426398697,107909.5809133832,100,100,100,100
7,2022-10-17 09:37:00,12728,12730,107794.93893012826,107811.65132376085,100,100,100,100
8,2022-10-17 09:38:00,12721,12723,107731.94440575996,107773.72364426371,100,100,100,100
9,2022-10-17 09:39:00,12721,12722,107725.73434170392,107784.23097814732,100,100,100,100
10,2022-10-17 09:40:00,12703,12704,107654.38288627057,107671.09551265981,100,100,100,100
11,2022-10-17 09:41:00,12690,12691,107525.05449657698,107533.41179911833,100,100,100,100
12,2022-10-17 09:42:00,12681,12682,107411.43048128343,107444.85294117648,100,100,100,100
13,2022-10-17 09:43:00,12660,12661,107301.45026422241,107343.22455771467,100,100,100,100
14,2022-10-17 09:44:00,12667,12668,107267.56327792162,107284.27031993984,100,100,100,100
15,2022-10-17 09:45:00,12664,12665,107227.11298235848,107260.5170673997,100,100,100,100
16,2022-10-17 09:46:00,12673,12675,107294.8053303643,107344.90797119099,100,100,100,100
17,2022-10-17 09:47:00,12675,12676,107239.47895791582,107289.57915831664,100,100,100,100
18,2022-10-17 09:48:00,12683,12684,107292.36955054851,107342.45546179907,100,100,100,100
19,2022-10-17 09:49:00,12690,12691,107371.97993697261,107388.67593758479,100,100,100,100
20,2022-10-17 09:50:00,12679,12680,107237.06176961603,107370.61769616028,100,100,100,100
21,2022-10-17 09:51:00,12669,12670,107151.94670634948,107160.29122365393,100,100,100,100
22,2022-10-17 09:52:00,12662,12663,107141.36708156596,107183.08879771922,100,100,100,100
23,2022-10-17 09:53:00,12660,12662,107129.00332988064,107170.71373454109,100,100,100,100
24,2022-10-17 09:54:00,12677,12678,107298.55447320665,107306.89806220144,100,100,100,100
25,2022-10-17 09:55:00,12659,12660,107180.70680519048,107230.7756498519,100,100,100,100
26,2022-10-17 09:56:00,12654,12655,107179.06991299993,107212.4512319793,100,100,100,100
27,2022-10-17 09:57:00,12665,12666,107224.66776542258,107266.39267310622,100,100,100,100
28,2022-10-17 09:58:00,12657,12658,107211.9931022974,107253.71307782168,100,100,100,100
29,2022-10-17 09:59:00,12632,12633,107006.20997072342,107056.27916356632,100,100,100,100
30,2022-10-17 10:00:00,12649,12650,107164.1645748298,107180.85291315807,100,100,100,100
31,2022-10-17 10:01:00,12650,12652,107194.26961994507,107235.99568830627,100,100,100,100
32,2022-10-17 10:02:00,12663,12665,107253.43199298998,107303.5036232388,100,100,100,100
33,2022-10-17 10:03:00,12652,12653,107148.22128890496,107198.28665201792,100,100,100,100
34,2022-10-17 10:04:00,12664,12665,107248.35201513086,107290.07315105833,100,100,100,100
35,2022-10-17 10:05:00,12654,12655,107157.60639074483,107207.66444418179,100,100,100,100
36,2022-10-17 10:06:00,12667,12668,107277.11446591611,107318.83705243832,100,100,100,100
37,2022-10-17 10:07:00,12666,12667,107256.83652823261,107298.55447320665,100,100,100,100
38,2022-10-17 10:08:00,12666,12667,107238.65809143055,107322.09282113679,100,100,100,100
39,2022-10-17 10:09:00,12674,12675,107260.09969341147,107301.81241787809,100,100,100,100
40,2022-10-17 10:10:00,12681,12682,107278.5536038259,107345.28468452187,100,100,100,100
41,2022-10-17 10:11:00,12681,12682,107343.79235800728,107377.15743450366,100,100,100,100
42,2022-10-17 10:12:00,12683,12684,107333.95891982065,107367.32353247836,100,100,100,100
43,2022-10-17 10:13:00,12690,12692,107392.21710901332,107425.5842729434,100,100,100,100
44,2022-10-17 10:14:00,12689,12690,107358.98237931392,107375.66468564278,100,100,100,100
45,2022-10-17 10:15:00,12693,12694,107353.89170367591,107412.272471383,100,100,100,100
46,2022-10-17 10:16:00,12675,12676,107255.90641486352,107272.588257373,100,100,100,100
47,2022-10-17 10:17:00,12682,12683,107291.64494672533,107350.02814904397,100,100,100,100
48,2022-10-17 10:18:00,12673,12674,107238.62080469276,107288.66215831139,100,100,100,100
49,2022-10-17 10:19:00,12667,12668,107181.13016102467,107214.48874495277,100,100,100,100
50,2022-10-17 10:20:00,12658,12660,107094.0123422472,107127.36976705398,100,100,100,100
51,2022-10-17 10:21:00,12654,12656,107012.26503596123,107062.2980438484,100,100,100,100
52,2022-10-17 10:22:00,12665,12666,107090.88255530305,107132.58136480203,100,100,100,100
53,2022-10-17 10:23:00,12677,12678,107185.59961080029,107235.63957327031,100,100,100,100
54,2022-10-17 10:24:00,12669,12670,107101.45531879405,107151.49493348901,100,100,100,100
55,2022-10-17 10:25:00,12672,12674,107127.81411383652,107244.58376484817,100,100,100,100
56,2022-10-17 10:26:00,12664,12665,107072.56046705588,107105.92160133446,100,100,100,100
57,2022-10-17 10:27:00,12658,12659,107043.81971713522,107077.17969211524,100,100,100,100
58,2022-10-17 10:28:00,12659,12660,107060.49970462522,107102.19967335026,100,100,100,100
59,2022-10-17 10:29:00,12662,12663,107068.83969837021,107118.87966084026,100,100,100,100
60,2022-10-17 10:30:00,12664,12665,107085.51968586023,107127.21965458525,100,100,100,100
61,2022-10-17 10:31:00,12665,12666,107071.8162926307,107113.51742064621,100,100,100,100
